Survived,Pclass,Cat_family,encoded_sex,encoded_embarked,scaled_age
0,1,1,1,2,-0.10463740114712752
1,2,1,0,2,-0.9499856776813305
1,3,1,0,2,0.27961181545932834
0,3,0,1,2,-1.0268355210026217
0,3,1,1,2,-0.10463740114712752
1,1,0,0,2,-0.48888661775358344
0,3,1,1,2,-0.41203677443229225
0,3,1,1,2,-0.027787557825836348
0,3,1,1,2,-0.719436147717457
0,1,1,1,2,1.2786597786361138
0,3,1,1,2,-0.2583370877897099
0,3,1,1,2,2.277707741812899
0,3,1,1,2,-0.10463740114712752
0,1,1,1,0,3.1999058616683933
1,1,1,1,0,-0.48888661775358344
1,2,1,0,2,0.35646165878061953
0,2,1,1,2,0.35646165878061953
0,3,1,0,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
0,1,1,1,2,-0.6425863043961658
0,3,1,1,2,0.27961181545932834
0,3,1,1,2,0.5870111887444931
0,3,1,1,2,-0.10463740114712752
1,3,1,0,2,-0.6425863043961658
1,3,1,1,2,-0.10463740114712752
0,3,1,1,2,0.6638610320657843
1,3,1,0,1,-0.10463740114712752
0,1,1,1,2,1.3555096219574048
0,3,1,0,0,-1.1421102859845584
0,3,1,1,2,-0.5657364610748746
0,3,1,0,2,-0.719436147717457
0,3,1,0,0,-0.9499856776813305
0,3,1,1,2,-0.6425863043961658
0,3,1,1,1,3.1614809400077477
0,2,1,1,2,-0.027787557825836348
0,1,1,1,0,-0.41203677443229225
0,3,0,0,2,-2.1027333275006983
0,2,1,1,2,-0.6425863043961658
0,3,1,1,2,-0.10463740114712752
0,2,1,1,0,0.24118689379868277
1,2,1,0,2,0.24118689379868277
0,1,1,1,2,1.893458525206443
1,3,1,1,0,-1.3342348942877864
0,3,1,1,1,-0.10463740114712752
1,3,1,1,2,-0.41203677443229225
1,3,1,0,0,-0.10463740114712752
0,3,1,1,2,1.2018099353148226
0,3,1,1,0,0.27961181545932834
0,3,1,1,2,-0.719436147717457
0,3,1,0,2,1.3555096219574048
1,2,1,0,2,-0.027787557825836348
0,2,1,1,2,-0.33518693111100106
0,2,1,1,0,-0.48888661775358344
1,1,1,0,2,-0.7962859910387481
0,1,1,1,2,0.5870111887444931
0,3,1,1,2,-1.0268355210026217
0,1,1,1,0,-0.41203677443229225
0,3,1,0,0,-0.10463740114712752
1,3,1,0,2,-0.5657364610748746
1,3,1,0,2,-0.41203677443229225
0,3,1,1,1,-0.7962859910387481
0,2,1,1,2,-0.8731358343600393
0,2,1,1,2,-0.7962859910387481
1,3,1,1,2,-0.1814872444684187
0,3,0,0,2,-1.56478442425166
0,2,1,1,2,0.5485862670838475
0,2,1,1,2,0.9712604053509489
0,2,1,1,2,1.6629089952425695
1,1,1,0,2,-0.5657364610748746
0,3,1,1,2,2.00873329018838
0,3,1,1,2,0.8559856403690123
0,3,1,1,2,-0.10463740114712752
0,1,1,1,0,1.6629089952425695
1,3,1,0,1,-1.0268355210026217
0,3,1,1,2,0.04906228549545483
0,3,1,1,2,-0.10463740114712752
0,3,0,1,2,-0.10463740114712752
0,3,1,1,2,1.1249600919935314
1,2,1,0,2,0.8175607187083667
0,3,1,1,2,-0.2583370877897099
0,3,1,1,2,-0.9499856776813305
0,3,0,1,2,-2.1795831708219895
1,3,1,1,2,-1.56478442425166
1,1,1,0,2,-0.10463740114712752
0,3,0,0,2,1.2018099353148226
0,1,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
0,1,1,1,2,2.4314074284554814
0,3,0,1,1,-1.949033640858116
1,3,1,0,2,-2.1795831708219895
0,3,1,1,2,-0.6425863043961658
0,1,1,1,0,2.0471582118490255
0,3,1,1,2,-0.8731358343600393
0,3,0,1,2,-0.10463740114712752
0,1,1,0,0,1.5860591519212783
0,2,1,1,2,0.04906228549545483
0,3,1,1,2,0.5101613454232019
0,3,0,0,2,-0.10463740114712752
0,2,1,1,0,-0.10463740114712752
0,3,0,1,2,-1.56478442425166
1,2,1,1,2,-2.1795831708219895
1,3,1,0,2,-1.949033640858116
0,1,1,1,2,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
1,1,1,1,2,1.2018099353148226
0,3,1,1,1,0.8175607187083667
0,3,1,1,2,0.5101613454232019
1,2,1,0,2,0.20276197213803718
0,2,1,1,2,-0.7962859910387481
1,3,1,0,2,-0.7962859910387481
1,2,1,1,2,-2.025883484179407
1,1,1,0,0,1.1249600919935314
1,1,1,0,0,2.200857898491608
0,3,1,1,1,-0.10463740114712752
0,3,1,1,2,0.9712604053509489
1,3,1,0,1,-0.10463740114712752
0,2,1,0,2,-0.41203677443229225
0,3,1,1,2,-0.10463740114712752
0,3,0,1,2,-0.10463740114712752
0,3,1,1,2,0.35646165878061953
0,3,1,1,0,1.2402348569754682
1,3,1,1,2,-0.8731358343600393
0,3,1,0,2,-2.1027333275006983
0,3,1,1,2,0.20276197213803718
1,3,1,1,0,-0.2583370877897099
1,3,1,0,1,-1.0268355210026217
1,1,1,1,0,0.8175607187083667
0,3,1,1,2,-0.41203677443229225
1,2,1,0,2,0.4333115021019107
0,3,1,1,2,-0.5657364610748746
0,2,1,1,2,0.04906228549545483
0,3,1,1,1,-0.10463740114712752
1,1,1,0,0,0.12591212881674602
1,3,1,0,2,-0.1814872444684187
0,2,1,1,2,0.9712604053509489
1,1,1,0,0,0.20276197213803718
0,2,1,1,2,0.04906228549545483
1,3,1,1,2,-1.0268355210026217
0,2,1,1,2,-0.1814872444684187
0,3,1,1,2,1.6629089952425695
0,3,1,1,2,-0.10463740114712752
1,1,1,1,2,0.6638610320657843
0,3,1,1,2,-0.5657364610748746
1,2,1,1,2,-0.7962859910387481
0,3,1,1,2,-0.6810112260568114
0,2,1,1,2,-0.8731358343600393
0,3,0,0,2,-0.10463740114712752
1,1,1,0,2,0.4333115021019107
0,3,1,1,2,-0.027787557825836348
0,2,1,1,2,2.277707741812899
1,3,0,0,2,-1.8721837975368247
0,2,1,1,2,-0.41203677443229225
0,3,1,0,2,-0.10463740114712752
0,2,1,1,2,1.1249600919935314
1,2,1,0,2,-1.6416342675729512
0,2,1,1,2,-0.7962859910387481
0,2,1,1,2,0.27961181545932834
0,3,1,0,0,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
0,2,1,1,2,-0.027787557825836348
0,3,1,1,2,-0.5657364610748746
0,3,1,1,0,0.04906228549545483
0,1,1,1,1,1.1249600919935314
0,3,1,0,2,-0.33518693111100106
1,2,1,0,2,-0.41203677443229225
1,1,1,1,2,0.5870111887444931
0,2,1,1,2,1.893458525206443
0,3,1,1,2,-0.10463740114712752
0,3,1,0,2,-0.027787557825836348
0,1,1,1,2,2.5082572717767726
0,3,1,1,2,0.04906228549545483
0,3,1,0,2,0.8944105620296577
1,3,1,0,0,-0.027787557825836348
1,1,1,0,0,-0.10463740114712752
1,1,1,0,2,0.04906228549545483
1,1,1,0,0,0.4333115021019107
1,2,1,0,2,1.5860591519212783
0,3,1,1,1,-0.10463740114712752
1,3,0,1,2,-2.025883484179407
0,1,1,1,2,1.7397588385638607
0,1,1,1,2,0.8175607187083667
0,3,1,0,1,-0.10463740114712752
0,2,1,1,2,0.5101613454232019
0,3,0,1,2,-1.0268355210026217
1,3,1,1,2,-0.33518693111100106
1,1,1,0,2,2.200857898491608
1,1,1,0,2,0.4333115021019107
0,1,1,1,2,-0.10463740114712752
1,3,1,1,2,-0.33518693111100106
1,2,1,0,2,0.8944105620296577
0,1,1,1,0,0.5870111887444931
1,3,1,0,1,-0.10463740114712752
1,1,1,0,2,2.585107115098064
0,3,1,0,2,1.2018099353148226
0,2,1,1,2,-0.10463740114712752
0,3,0,1,1,-1.7184841108942424
1,3,1,0,2,0.4333115021019107
0,3,1,1,1,2.738806801740646
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,-1.0268355210026217
1,3,1,1,2,-0.7962859910387481
0,1,1,1,2,-0.10463740114712752
0,3,1,1,0,0.27961181545932834
1,3,1,1,2,0.04906228549545483
0,3,1,1,2,-0.5657364610748746
1,2,1,1,2,0.9712604053509489
1,3,1,0,1,-0.5657364610748746
1,1,1,0,2,-0.2583370877897099
1,1,1,0,0,-0.7962859910387481
0,2,1,1,0,0.5101613454232019
0,3,1,0,2,-0.41203677443229225
0,3,1,1,2,-0.41203677443229225
0,1,1,1,0,-0.10463740114712752
0,3,1,1,0,-0.45046169609293785
0,1,1,0,2,-2.1027333275006983
1,1,1,1,2,-0.10463740114712752
1,1,1,0,0,1.5860591519212783
1,3,1,0,1,-0.10463740114712752
1,3,1,1,1,-0.10463740114712752
0,3,1,1,2,-0.7962859910387481
1,2,1,0,1,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
1,1,1,1,2,-2.1857311582876924
1,1,1,0,0,-0.10463740114712752
1,1,1,0,0,-0.9499856776813305
0,2,1,1,0,0.04906228549545483
1,1,1,0,0,0.04906228549545483
1,1,1,0,0,-0.41203677443229225
1,1,0,0,0,-0.8731358343600393
0,2,1,0,2,-0.2583370877897099
0,3,1,1,2,-0.10463740114712752
0,2,1,1,2,1.0481102486722402
1,3,1,0,2,-0.2583370877897099
1,2,1,0,2,-0.41203677443229225
0,2,1,1,2,1.893458525206443
1,1,1,0,2,0.12591212881674602
1,1,1,0,0,0.8175607187083667
0,3,1,1,2,-0.5657364610748746
0,3,1,1,2,-0.1814872444684187
1,2,1,0,1,0.04906228549545483
1,2,1,0,2,-0.5657364610748746
0,3,0,1,2,-0.10463740114712752
1,1,1,0,0,0.5101613454232019
0,3,1,1,2,2.4314074284554814
1,2,1,0,2,0.5101613454232019
1,3,1,0,2,0.12591212881674602
1,1,1,0,0,-1.0268355210026217
1,3,1,0,1,-0.10463740114712752
0,1,1,1,2,1.2402348569754682
0,1,1,1,2,0.6638610320657843
0,3,1,1,2,-1.0268355210026217
1,1,1,0,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
0,1,1,1,2,-0.027787557825836348
1,1,1,0,0,0.8944105620296577
1,3,1,1,2,1.2018099353148226
0,1,1,1,2,1.2018099353148226
1,2,1,1,2,-2.1027333275006983
1,1,0,0,2,-0.41203677443229225
0,2,1,1,2,-0.10463740114712752
0,2,1,1,2,-0.33518693111100106
0,2,1,1,2,0.5101613454232019
1,2,1,0,2,-0.41203677443229225
1,2,1,0,2,0.8175607187083667
1,3,1,0,2,-0.10463740114712752
1,3,1,1,2,-2.025883484179407
0,3,1,1,2,0.9712604053509489
0,3,1,1,2,-0.48888661775358344
0,1,1,1,2,-0.10463740114712752
0,3,1,1,0,-1.1036853643239128
0,3,1,1,2,-0.33518693111100106
0,3,1,1,0,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
1,1,1,0,2,-0.5657364610748746
0,2,1,0,2,0.6638610320657843
1,3,1,0,1,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
0,3,0,1,2,0.8175607187083667
0,2,1,1,0,-0.027787557825836348
0,3,1,0,0,1.2018099353148226
0,3,1,1,2,0.4333115021019107
0,3,1,1,1,-0.10463740114712752
0,3,1,1,2,0.04906228549545483
1,1,1,0,0,2.3545575851341902
1,3,1,0,0,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
1,1,1,0,0,-0.41203677443229225
1,1,1,1,0,-0.33518693111100106
0,3,1,1,2,-0.8731358343600393
0,3,1,1,2,-0.7962859910387481
0,1,1,1,0,-0.5657364610748746
0,3,0,0,2,-2.025883484179407
1,1,1,0,0,-0.10463740114712752
1,3,1,0,2,-0.5657364610748746
0,1,1,1,0,-0.1814872444684187
0,3,1,1,0,-0.719436147717457
0,3,1,1,2,-0.7962859910387481
1,1,1,0,0,0.9712604053509489
1,3,1,0,0,-2.1795831708219895
0,3,1,1,2,0.20276197213803718
1,1,1,0,2,0.4333115021019107
0,3,1,1,2,-0.10463740114712752
0,2,1,1,2,-0.8731358343600393
0,3,0,1,2,-2.1795831708219895
1,2,1,0,2,0.5101613454232019
0,3,1,1,1,-0.10463740114712752
1,2,1,0,0,-0.9499856776813305
1,1,1,1,2,0.5101613454232019
1,3,1,1,2,-0.6425863043961658
0,3,1,1,2,-0.10463740114712752
1,1,1,0,0,-0.48888661775358344
1,3,1,0,2,-0.41203677443229225
0,3,1,1,2,-0.5657364610748746
0,3,1,0,2,0.12591212881674602
0,2,1,1,2,1.2786597786361138
0,2,1,1,2,-0.48888661775358344
1,2,1,0,2,-0.10463740114712752
1,3,1,1,2,0.7407108753870755
0,3,1,1,2,-0.2583370877897099
0,3,1,0,2,-0.6425863043961658
0,3,1,1,2,-0.10463740114712752
0,3,1,0,2,-0.719436147717457
0,2,1,1,2,0.35646165878061953
0,3,1,1,2,1.6629089952425695
1,2,1,1,2,-2.025883484179407
0,3,1,1,2,-0.6425863043961658
0,3,0,0,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
0,3,1,1,1,-0.10463740114712752
1,1,1,0,1,0.27961181545932834
0,2,1,1,2,-0.10463740114712752
1,3,1,1,2,1.1249600919935314
0,3,1,0,2,-0.10463740114712752
1,2,1,0,2,0.35646165878061953
1,2,1,0,2,-0.8731358343600393
0,2,1,1,2,0.04906228549545483
0,3,1,0,2,-1.4879345809303688
0,3,1,1,0,-0.10463740114712752
0,3,1,1,1,-0.6425863043961658
0,3,1,1,2,-0.027787557825836348
0,3,1,0,2,-0.10463740114712752
0,3,1,1,2,-0.8731358343600393
0,3,1,1,2,-0.10463740114712752
1,2,1,0,2,-0.10463740114712752
1,2,1,0,2,-0.7962859910387481
0,3,1,1,1,-0.10463740114712752
1,3,1,1,2,0.20276197213803718
1,1,1,1,2,-0.10463740114712752
1,3,1,0,2,-0.10463740114712752
1,2,1,0,2,0.9712604053509489
0,3,1,1,2,-0.9499856776813305
0,1,1,1,2,1.5860591519212783
1,1,1,0,2,-1.180535207645204
0,3,0,0,2,-0.6425863043961658
1,2,0,0,2,-0.41203677443229225
0,1,0,1,2,2.661956958419355
0,2,1,1,2,0.12591212881674602
1,2,1,0,2,1.2018099353148226
0,3,1,1,2,-0.719436147717457
0,3,1,1,2,-0.33518693111100106
1,2,1,0,2,-0.10463740114712752
1,3,1,1,2,-0.10463740114712752
1,1,1,1,2,-1.949033640858116
1,2,1,0,2,-1.2573850509664952
1,1,1,1,2,0.35646165878061953
1,3,1,0,0,-1.8721837975368247
1,1,1,1,2,1.7397588385638607
0,2,1,1,2,0.5101613454232019
0,3,1,1,2,-0.10463740114712752
0,1,1,1,0,0.04906228549545483
1,1,1,1,0,1.5092093085999871
0,3,1,1,2,-0.10463740114712752
1,3,1,1,0,-0.027787557825836348
0,1,1,1,2,2.738806801740646
1,1,1,0,2,-0.10463740114712752
1,2,1,0,2,1.5860591519212783
0,3,1,1,1,-0.10463740114712752
1,1,1,1,2,1.432359465278696
0,3,1,1,2,0.35646165878061953
0,1,1,1,2,1.3555096219574048
0,2,1,1,2,1.432359465278696
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,0.6638610320657843
0,2,1,1,2,-0.10463740114712752
0,1,1,1,2,2.0471582118490255
0,3,1,1,1,-0.10463740114712752
1,3,1,0,0,-2.1987956316523123
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,0.6638610320657843
1,2,1,0,2,0.27961181545932834
1,2,1,0,0,-0.48888661775358344
0,3,1,0,2,-0.5657364610748746
0,1,1,1,2,-0.10463740114712752
0,2,1,1,2,0.35646165878061953
0,3,1,1,2,-0.027787557825836348
0,3,1,1,2,-0.5657364610748746
1,3,1,0,2,-2.1027333275006983
0,3,0,1,2,-1.56478442425166
0,2,1,1,2,-0.10463740114712752
0,3,1,1,2,1.5860591519212783
1,3,1,0,2,2.585107115098064
1,1,1,1,0,-0.33518693111100106
0,3,0,0,2,-0.10463740114712752
1,1,1,0,2,0.4333115021019107
0,1,1,1,0,2.200857898491608
0,3,1,1,2,0.04906228549545483
1,3,1,1,2,-1.56478442425166
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.6425863043961658
0,1,1,1,2,1.9703083685277343
0,1,1,1,0,3.1999058616683933
0,3,1,1,2,-0.6425863043961658
0,3,1,1,0,-0.10463740114712752
1,1,1,0,0,1.893458525206443
0,3,1,1,2,-0.10463740114712752
0,1,1,0,2,-0.33518693111100106
0,3,1,1,2,-0.41203677443229225
0,3,1,1,2,-0.9499856776813305
0,3,1,0,1,-0.6425863043961658
0,3,1,0,1,-0.10463740114712752
0,3,1,0,2,0.5870111887444931
1,1,1,0,2,-1.0268355210026217
0,1,1,1,0,-0.8731358343600393
1,2,1,0,2,0.27961181545932834
1,1,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
1,3,1,1,2,-0.2583370877897099
1,3,1,1,1,-0.027787557825836348
0,3,1,1,2,-0.10463740114712752
1,1,1,1,2,0.5101613454232019
1,1,1,0,0,1.893458525206443
0,3,1,1,2,-0.41203677443229225
0,1,1,1,2,1.3555096219574048
1,2,1,0,2,0.35646165878061953
0,3,1,1,1,-0.10463740114712752
1,2,1,0,2,0.5101613454232019
0,3,1,1,2,0.20276197213803718
1,1,1,0,2,0.04906228549545483
0,3,1,1,2,-0.5657364610748746
0,3,1,1,0,-0.10463740114712752
1,1,1,0,0,1.1249600919935314
0,3,1,1,0,-0.10463740114712752
0,3,1,1,1,0.8559856403690123
1,2,1,0,2,1.5860591519212783
0,1,1,1,2,-0.10463740114712752
0,3,1,1,2,0.7407108753870755
0,2,1,1,2,-0.48888661775358344
1,2,1,0,2,-2.1027333275006983
0,3,1,1,0,-0.10463740114712752
0,3,1,1,0,-0.9499856776813305
1,3,1,0,0,-0.10463740114712752
0,3,1,0,2,0.04906228549545483
1,2,1,0,2,-1.7184841108942424
0,1,1,1,2,1.2018099353148226
1,1,1,0,0,0.04906228549545483
0,3,1,1,2,-0.10463740114712752
1,1,1,0,0,-0.5657364610748746
1,1,1,0,2,0.5101613454232019
0,3,0,0,2,-1.56478442425166
0,3,0,0,2,-1.4110847376090776
1,2,1,1,2,0.20276197213803718
0,1,1,1,0,1.5860591519212783
0,1,1,1,2,2.661956958419355
1,2,1,0,2,-0.7962859910387481
1,2,1,1,0,-0.10463740114712752
0,3,1,1,2,0.27961181545932834
1,2,1,1,2,-1.6416342675729512
1,1,1,1,0,-0.9499856776813305
0,2,1,1,2,-0.1814872444684187
0,3,1,1,1,-0.10463740114712752
1,3,1,1,0,-0.5657364610748746
1,3,1,0,2,-0.5657364610748746
0,1,1,1,2,2.5082572717767726
1,1,1,0,0,1.432359465278696
0,1,1,1,0,-0.10463740114712752
1,1,1,0,2,0.7407108753870755
1,3,1,0,2,0.5101613454232019
0,3,1,1,1,-0.10463740114712752
0,3,1,1,2,0.8175607187083667
0,2,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
0,3,1,0,2,-0.10463740114712752
0,3,1,1,2,-0.41203677443229225
0,3,1,1,2,-0.7962859910387481
0,3,0,0,2,-0.027787557825836348
0,3,1,1,0,-0.10463740114712752
1,3,1,1,2,0.20276197213803718
1,2,1,1,2,2.5082572717767726
1,1,1,0,2,1.816608681885152
1,1,1,1,2,0.5101613454232019
1,3,1,0,1,-0.10463740114712752
0,3,1,1,2,-1.0268355210026217
0,3,1,1,2,-0.7962859910387481
1,2,1,0,2,0.35646165878061953
1,1,1,0,2,0.7407108753870755
0,3,1,0,0,-0.10463740114712752
1,3,1,1,2,0.20276197213803718
1,2,1,0,2,-0.33518693111100106
1,1,1,0,0,0.7407108753870755
0,2,1,1,2,1.893458525206443
0,1,1,1,0,0.5101613454232019
0,3,1,1,0,-0.10463740114712752
1,1,1,0,2,-0.8731358343600393
0,2,1,1,2,1.3555096219574048
1,1,1,1,0,2.3545575851341902
0,3,1,1,2,-0.5657364610748746
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,0.4333115021019107
1,1,1,0,0,1.7397588385638607
0,3,1,1,2,1.3555096219574048
0,3,1,0,1,-0.10463740114712752
0,2,1,1,2,0.5870111887444931
0,3,1,1,2,0.5101613454232019
1,2,1,0,2,-0.10463740114712752
0,3,1,1,2,1.5092093085999871
0,3,1,1,0,-0.10463740114712752
1,1,1,1,0,1.5092093085999871
1,2,1,0,2,-0.41203677443229225
0,3,1,1,2,-0.10463740114712752
0,1,1,1,2,-0.10463740114712752
0,3,1,1,2,1.1249600919935314
1,1,1,1,0,0.4333115021019107
0,3,1,1,2,0.5101613454232019
0,3,1,1,2,0.04906228549545483
1,1,1,1,2,-0.1814872444684187
1,2,1,0,0,-0.5657364610748746
1,1,1,0,2,0.8175607187083667
0,3,0,0,2,0.7407108753870755
0,3,1,1,2,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
0,3,1,1,1,-0.10463740114712752
0,3,1,1,2,0.4333115021019107
1,2,1,0,2,-0.41203677443229225
0,3,1,1,2,0.35646165878061953
0,3,1,0,2,-0.2583370877897099
1,2,1,0,2,-1.949033640858116
0,2,1,1,2,-0.2583370877897099
0,3,1,1,0,-0.1814872444684187
1,1,1,1,2,0.9712604053509489
1,3,1,1,0,-0.719436147717457
0,3,1,1,2,-0.6425863043961658
0,3,1,1,2,-0.6425863043961658
0,1,1,1,2,2.4314074284554814
0,2,1,1,1,2.1240080551703167
1,1,1,0,2,-0.6425863043961658
0,3,1,1,2,-0.2583370877897099
0,3,1,1,1,-0.10463740114712752
1,1,1,1,2,3.8915544515600136
0,3,1,1,2,1.6629089952425695
1,1,1,1,0,0.20276197213803718
0,1,1,1,2,-0.10463740114712752
0,3,0,0,2,-1.56478442425166
1,2,1,0,2,-0.10463740114712752
0,3,1,1,2,0.20276197213803718
0,2,1,1,2,0.12591212881674602
0,3,0,0,2,0.8944105620296577
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.719436147717457
1,1,1,0,0,-0.41203677443229225
0,3,0,0,2,-2.1027333275006983
1,3,1,1,2,-0.10463740114712752
1,3,1,0,0,-2.1987956316523123
1,1,1,1,0,1.432359465278696
0,3,1,1,2,-0.7962859910387481
1,1,1,1,0,2.0471582118490255
0,3,1,1,2,-0.10463740114712752
1,3,1,0,2,-0.48888661775358344
0,3,1,1,2,-0.10463740114712752
1,2,1,0,2,-0.8731358343600393
0,3,1,1,2,-0.6425863043961658
1,3,1,0,1,-0.10463740114712752
0,3,1,0,1,-0.8731358343600393
0,2,1,1,2,-0.41203677443229225
0,3,1,1,2,-0.10463740114712752
0,3,1,0,1,0.20276197213803718
0,2,1,1,2,-0.48888661775358344
0,1,1,1,0,2.200857898491608
1,1,1,1,2,1.5860591519212783
0,3,1,1,0,0.8175607187083667
0,1,1,1,2,1.3555096219574048
0,3,1,1,2,0.5101613454232019
1,3,1,1,2,-0.719436147717457
0,2,1,1,2,0.20276197213803718
0,2,1,1,2,-0.33518693111100106
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,1.0481102486722402
1,1,1,0,2,-0.10463740114712752
1,2,1,0,2,0.8175607187083667
0,1,1,1,2,0.12591212881674602
0,2,1,1,2,3.123056018347102
1,2,1,1,2,0.12591212881674602
0,2,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.8731358343600393
0,3,1,1,2,-0.37361185277164666
1,3,1,0,2,-0.8731358343600393
0,3,0,0,2,1.0481102486722402
1,1,1,1,0,0.5101613454232019
0,3,1,0,1,-0.10463740114712752
1,1,1,1,0,-0.1814872444684187
0,3,1,1,2,-0.719436147717457
0,3,0,1,2,-1.180535207645204
0,2,1,1,2,2.3545575851341902
0,2,1,1,0,-0.33518693111100106
0,3,0,1,2,-1.180535207645204
0,3,1,1,2,-0.7962859910387481
0,3,1,1,2,-0.8731358343600393
1,1,1,0,2,-1.1036853643239128
1,1,1,1,2,0.12591212881674602
1,3,1,0,0,-1.949033640858116
1,3,1,1,2,-0.10463740114712752
0,3,1,1,0,-0.33518693111100106
0,1,1,1,2,2.3545575851341902
0,2,1,1,2,1.7397588385638607
0,3,1,1,2,1.1249600919935314
1,3,1,0,1,-0.10463740114712752
0,1,1,1,0,1.5092093085999871
0,3,1,1,2,0.9712604053509489
1,1,1,0,0,-0.8731358343600393
1,1,1,1,2,0.4333115021019107
0,3,1,0,0,-0.8731358343600393
0,3,1,1,1,-0.33518693111100106
0,3,1,1,2,-0.2583370877897099
0,2,1,1,2,0.7407108753870755
1,2,1,0,2,1.2018099353148226
1,1,1,1,2,0.9712604053509489
1,1,1,0,2,-0.5657364610748746
1,3,1,1,0,-0.10463740114712752
1,1,1,0,0,-0.41203677443229225
0,1,1,1,2,-0.10463740114712752
